id,latitude,longitude
20486,61.16477778,-151.0438056
20485,63.094,-149.507
20484,61.68022222,-149.2311944
20483,62.02738889,-146.6355556
20482,59.68047222,-151.6243333
20481,61.55572222,-149.0225833
20480,61.55252778,-149.5355556
20464,62.10813889,-146.1755278
20462,60.52944444,-150.5833333
20461,60.08338889,-149.3447222
20460,60.71969444,-151.3663889
20437,61.55572222,-149.0225833
20438,59.68047222,-151.6243333
20439,62.02738889,-146.6355556
20440,61.68022222,-149.2311944
20441,63.094,-149.507
20442,61.16477778,-151.0438056
20443,61.43169444,-149.9979444
20444,61.71911111,-148.8383889
20445,61.14025,-146.3635
20446,60.023,-151.5898611
20447,60.53258333,-149.5344444
20448,61.58552778,-149.0287222
20449,60.74183333,-151.2198611
20450,61.07213889,-146.2020278
20451,60.18211111,-149.3736111
20452,61.28680556,-149.9320556
20453,62.97686111,-149.6378056
20454,61.04633333,-151.1833333
20455,60.56122222,-149.14175
20456,60.63713889,-149.485
20457,62.27027778,-145.4099722
20458,61.07025,-151.1416667
20459,60.21413889,-151.4144167
46294,57.78997222,-152.4266111
24836,61.58552778,-149.0287222
24835,60.63713889,-149.485
24834,60.56122222,-149.14175
24833,60.66383333,-149.0437222
24832,61.43169444,-149.9979444
3202,54.91777778,-130.8422222
3203,55.81572222,-132.6852778
3204,59.46077778,-135.32875
3205,56.74325,-133.0792222
3206,56.45388889,-132.3841667
3207,57.15241667,-135.6453611
3208,58.1985,-136.6396389
3209,56.98111111,-133.8058333
3210,57.11463889,-134.8123056
3211,58.41897222,-135.7070556
3212,59.25077778,-135.4623889
3213,58.33963889,-135.079
3214,58.12777778,-135.4325
3215,58.3695,-134.5539167
3216,55.36094444,-131.7960556
46293,57.4445,-152.3745
46292,57.78997222,-152.4266111
24831,61.59969444,-149.1879722
24830,61.63977778,-149.8485278
24829,61.62111111,-149.0233333
24828,61.60530556,-149.6763889
24827,61.62,-149.2561111
24826,60.92916667,-149.3524444
24824,61.28138889,-149.4728056
24823,61.10180556,-149.7716111
24822,61.14452778,-149.9812222
24821,60.92747222,-149.6599444
24820,60.77780556,-148.6949722
46181,64.50072222,-165.4102778
3239,57.50019444,-134.5806389
3238,59.22138889,-135.4389444
46180,64.50072222,-165.4102778
20479,59.74313889,-151.2511389
20478,59.67105556,-151.50875
3237,56.47408333,-132.3797222
3236,55.46336111,-133.0810278
3235,55.36094444,-131.7960556
3234,58.3695,-134.5539167
3233,58.12777778,-135.4325
3232,58.33963889,-135.079
3231,59.25077778,-135.4623889
3230,58.41897222,-135.7070556
3229,57.11463889,-134.8123056
3228,56.98111111,-133.8058333
3227,58.1985,-136.6396389
3226,57.15241667,-135.6453611
3217,55.46336111,-133.0810278
3218,56.47408333,-132.3797222
3219,59.22138889,-135.4389444
3220,57.50019444,-134.5806389
3221,54.91777778,-130.8422222
3222,55.81572222,-132.6852778
3223,59.46077778,-135.32875
3224,56.74325,-133.0792222
3225,56.45388889,-132.3841667
20477,61.7715,-149.7544167
20476,62.16269444,-146.5006389
20475,62.41225,-145.1090833
20474,61.62,-149.2561111
20473,60.49377778,-149.8684167
20472,62.96791667,-145.4696111
20471,60.47611111,-149.3688889
20470,61.77277778,-145.1983889
20469,61.80697222,-148.3344444
20468,62.30811111,-149.7544722
20467,59.881,-151.7862222
20466,61.8325,-147.3275
24853,61.58552778,-149.0287222
24845,61.60530556,-149.6763889
24844,61.62,-149.2561111
24843,60.92916667,-149.3524444
24841,61.28138889,-149.4728056
24840,61.10180556,-149.7716111
20465,61.78802778,-147.6743333
20416,60.71969444,-151.3663889
20415,60.21413889,-151.4144167
419,63.64863889,-144.0658889
418,65.03425,-147.5026667
417,63.33805556,-142.9847222
416,63.74277778,-148.8877222
415,64.03883333,-145.5987778
414,63.38472222,-143.7961111
413,64.01083333,-149.122
412,63.64316667,-148.7856389
411,64.03744444,-145.7296389
410,64.30288889,-146.5509444
409,64.87075,-147.0999444
408,64.57727778,-149.0806111
407,63.23819444,-145.6485278
406,63.40055556,-148.94
405,63.78725,-145.8632778
404,64.40952778,-146.9558611
403,63.83722222,-148.9802778
402,64.21269444,-149.3114167
401,64.87913889,-148.0550556
400,63.64863889,-144.0658889
399,65.03425,-147.5026667
398,63.33805556,-142.9847222
397,63.74277778,-148.8877222
396,64.03883333,-145.5987778
395,63.38472222,-143.7961111
394,64.01083333,-149.122
393,63.64316667,-148.7856389
392,64.03744444,-145.7296389
24839,61.14452778,-149.9812222
24838,60.92747222,-149.6599444
391,64.30288889,-146.5509444
24837,60.77780556,-148.6949722
24852,60.63713889,-149.485
20502,61.07025,-151.1416667
20501,62.27027778,-145.4099722
20500,60.63713889,-149.485
20499,60.56122222,-149.14175
20498,61.04633333,-151.1833333
20497,62.97686111,-149.6378056
24851,60.56122222,-149.14175
46295,57.4445,-152.3745
24850,60.66383333,-149.0437222
24849,61.43169444,-149.9979444
24848,61.59969444,-149.1879722
24847,61.63977778,-149.8485278
24846,61.62111111,-149.0233333
390,64.87075,-147.0999444
389,64.57727778,-149.0806111
388,63.23819444,-145.6485278
387,63.40055556,-148.94
386,63.78725,-145.8632778
385,64.40952778,-146.9558611
384,63.83722222,-148.9802778
383,64.21269444,-149.3114167
382,64.87913889,-148.0550556
20417,60.08338889,-149.3447222
20418,60.52944444,-150.5833333
20420,62.10813889,-146.1755278
20421,61.78802778,-147.6743333
20496,61.28680556,-149.9320556
20495,60.18211111,-149.3736111
20494,61.07213889,-146.2020278
20493,60.74183333,-151.2198611
20492,61.58552778,-149.0287222
20422,61.8325,-147.3275
20423,59.881,-151.7862222
20424,62.30811111,-149.7544722
20425,61.80697222,-148.3344444
20426,61.77277778,-145.1983889
20427,60.47611111,-149.3688889
20428,62.96791667,-145.4696111
20429,60.49377778,-149.8684167
20430,61.62,-149.2561111
20431,62.41225,-145.1090833
20432,62.16269444,-146.5006389
20433,61.7715,-149.7544167
20434,59.67105556,-151.50875
20435,59.74313889,-151.2511389
20436,61.55252778,-149.5355556
20491,60.53258333,-149.5344444
20490,60.023,-151.5898611
20489,61.14025,-146.3635
20488,61.71911111,-148.8383889
20487,61.43169444,-149.9979444
10143,33.84211111,-88.17591667
38241,34.65719444,-87.15852778
38242,34.92494444,-88.08125
38243,34.92297222,-87.25694444
38244,34.92127778,-87.75533333
38245,34.93072222,-87.53611111
8193,34.48016667,-85.66294444
8194,34.6925,-85.90083333
8195,34.35619444,-85.88577778
8196,34.69938889,-86.25013889
